title,state,wiki_link,imdb_link,imdb_id
Spawn of the North,Alaska,https://en.wikipedia.org/wiki/Spawn_of_the_North,https://www.imdb.com/title/tt0030775/,tt0030775
Spirit of the Wind,Alaska,https://en.wikipedia.org/wiki/Spirit_of_the_Wind,https://www.imdb.com/title/tt0079940/,tt0079940
The Spoilers,Alaska,https://en.wikipedia.org/wiki/The_Spoilers_(1923_film),https://www.imdb.com/title/tt0014503/,tt0014503
The Spoilers,Alaska,https://en.wikipedia.org/wiki/The_Spoilers_(1930_film),https://www.imdb.com/title/tt0021412/,tt0021412
The Spoilers,Alaska,https://en.wikipedia.org/wiki/The_Spoilers_(1942_film),https://www.imdb.com/title/tt0035369/,tt0035369
The Spoilers,Alaska,https://en.wikipedia.org/wiki/The_Spoilers_(1955_film),https://www.imdb.com/title/tt0048652/,tt0048652
Stealth,Alaska,https://en.wikipedia.org/wiki/Stealth_(film),https://www.imdb.com/title/tt0382992/,tt0382992
Sugar Mountain,Alaska,https://en.wikipedia.org/wiki/Sugar_Mountain_(film),https://www.imdb.com/title/tt3553378/,tt3553378
Sweet Virginia,Alaska,https://en.wikipedia.org/wiki/Sweet_Virginia_(film),https://www.imdb.com/title/tt2582498/,tt2582498
To Brave Alaska,Alaska,https://en.wikipedia.org/wiki/To_Brave_Alaska,https://www.imdb.com/title/tt0117922/,tt0117922
Togo,Alaska,https://en.wikipedia.org/wiki/Togo_(film),https://www.imdb.com/title/tt8096836/,tt8096836
Top of the World,Alaska,https://en.wikipedia.org/wiki/Top_of_the_World_(1955_film),https://www.imdb.com/title/tt0048735/,tt0048735
Torpedo Run,Alaska,https://en.wikipedia.org/wiki/Torpedo_Run,https://www.imdb.com/title/tt0052303/,tt0052303
Walking with Dinosaurs,Alaska,https://en.wikipedia.org/wiki/Walking_with_Dinosaurs_(film),https://www.imdb.com/title/tt1762399/,tt1762399
The Wandering Beast,Alaska,https://en.wikipedia.org/wiki/The_Wandering_Beast,https://www.imdb.com/title/tt0201502/,tt0201502
When I'm a Moth,Alaska,https://en.wikipedia.org/wiki/When_I%27m_a_Moth,https://www.imdb.com/title/tt6605336/,tt6605336
White Fang,Alaska,https://en.wikipedia.org/wiki/White_Fang_(1991_film),https://www.imdb.com/title/tt0103247/,tt0103247
White Fang 2: Myth of the White Wolf,Alaska,https://en.wikipedia.org/wiki/White_Fang_2:_Myth_of_the_White_Wolf,https://www.imdb.com/title/tt0111701/,tt0111701
Who's Nailin' Paylin?,Alaska,https://en.wikipedia.org/wiki/Who%27s_Nailin%27_Paylin%3F,https://www.imdb.com/title/tt1310622/,tt1310622
Wild Geese Calling,Alaska,https://en.wikipedia.org/wiki/Wild_Geese_Calling,https://www.imdb.com/title/tt0034393/,tt0034393
Wildlike,Alaska,https://en.wikipedia.org/wiki/Wildlike,https://www.imdb.com/title/tt2204080/,tt2204080
The World in His Arms,Alaska,https://en.wikipedia.org/wiki/The_World_in_His_Arms,https://www.imdb.com/title/tt0045339/,tt0045339
World War III,Alaska,https://en.wikipedia.org/wiki/World_War_III_(miniseries),https://www.imdb.com/title/tt0084919/,tt0084919
Balto II: Wolf Quest,Alaska,https://en.wikipedia.org/wiki/Balto_II:_Wolf_Quest,https://www.imdb.com/title/tt0281634/,tt0281634
Call of the Wild,Alaska,https://en.wikipedia.org/wiki/Call_of_the_Wild_(2009_film),https://www.imdb.com/title/tt1192620/,tt1192620
The Call of the Wild,Alaska,https://en.wikipedia.org/wiki/The_Call_of_the_Wild_(1923_film),https://www.imdb.com/title/tt0013908/,tt0013908
Call of the Wild,Alaska,https://en.wikipedia.org/wiki/Call_of_the_Wild_(TV_series),https://www.imdb.com/title/tt0221734/,tt0221734
The Call of the Wild,Alaska,https://en.wikipedia.org/wiki/The_Call_of_the_Wild_(2020_film),https://www.imdb.com/title/tt7504726/,tt7504726
The Call of the Wild,Alaska,https://en.wikipedia.org/wiki/The_Call_of_the_Wild_(1972_film),https://www.imdb.com/title/tt0069197/,tt0069197
The Call of the Wild,Alaska,https://en.wikipedia.org/wiki/The_Call_of_the_Wild_(1976_film),https://www.imdb.com/title/tt0074270/,tt0074270
The Call of the Wild: Dog of the Yukon,Alaska,https://en.wikipedia.org/wiki/The_Call_of_the_Wild:_Dog_of_the_Yukon,https://www.imdb.com/title/tt0118811/,tt0118811
Alien Thunder,Alaska,https://en.wikipedia.org/wiki/Alien_Thunder,https://www.imdb.com/title/tt0069688/,tt0069688
The Ancient Highway,Alaska,https://en.wikipedia.org/wiki/The_Ancient_Highway,https://www.imdb.com/title/tt0015572/,tt0015572
Back to God's Country,Alaska,https://en.wikipedia.org/wiki/Back_to_God%27s_Country_(1953_film),https://www.imdb.com/title/tt0045531/,tt0045531
Back to God's Country,Alaska,https://en.wikipedia.org/wiki/Back_to_God%27s_Country_(1919_film),https://www.imdb.com/title/tt0009900/,tt0009900
